Rank,Method,WSADE,ADEv,ADEp,ADEb,WSFDE,FDEv,FDEp,FDEb
,http://gamma.cs.unc.edu/TPredict/TrafficPredict.html,8.5881,7.9467,7.1811,12.8805,24.2262,12.7757,11.121,22.7912
1,VI YTF,1.1536,1.9401,0.6721,1.7078,2.1023,3.365,1.2721,3.1433
2,AI-TP,1.1544,1.9878,0.6684,1.678,2.1297,3.5246,1.2667,3.137
3,grip-qd,1.1546,1.985,0.671,1.6745,2.1281,3.5842,1.2652,3.0792
4,sttf,1.1679,1.9874,0.6834,1.7,2.1798,3.5783,1.3048,3.2151
5,s2tnet,1.1679,1.9874,0.6834,1.7,2.1798,3.5783,1.3048,3.2151
6,TEST,1.1768,2.0022,0.6854,1.722,2.2009,3.6378,1.3008,3.2675
7,VAVA,1.1891,2.0034,0.6907,1.7628,2.2118,3.5839,1.317,3.3234
8,Expt58,1.1908,2.0717,0.674,1.7525,2.1884,3.6709,1.2738,3.252
9,test_z,1.1919,2.0705,0.7016,1.6859,2.2283,3.7617,1.3518,3.1451
10,Expt40,1.1942,2.0458,0.6848,1.7629,2.2097,3.6322,1.3048,3.3023
11,ffff_1,1.1945,2.0749,0.6894,1.7257,2.2613,3.8675,1.3151,3.2956
12,Expt37,1.1946,2.0671,0.6788,1.7612,2.1924,3.6425,1.2868,3.2616
13,VI Soc exp rot,1.1947,2.0878,0.6813,1.7363,2.207,3.7661,1.2928,3.2
14,fnb45,1.1947,2.0705,0.7016,1.6983,2.2408,3.7617,1.3518,3.2017
15,Expt51,1.1977,2.0703,0.6919,1.7379,2.2112,3.6844,1.323,3.2134
16,T-GAT,1.201,2.0864,0.7004,1.7159,2.2217,3.7206,1.3327,3.203
17,MCFTP,1.2011,2.0906,0.6971,1.721,2.2382,3.7661,1.3434,3.2084
18,grip-wave,1.2023,2.0867,0.6766,1.7844,2.2439,3.7832,1.2908,3.3574
19,fnb43,1.2038,2.1268,0.7027,1.6859,2.2393,3.8244,1.3491,3.1451
20,test_,1.2038,2.1268,0.7027,1.6859,2.2393,3.8244,1.3491,3.1451
21,stra,1.2048,2.0894,0.6932,1.7492,2.2354,3.7564,1.3134,3.2832
22,Transformer_ＷANG,1.2048,2.0894,0.6932,1.7492,2.2354,3.7564,1.3134,3.2832
23,Expt45_new,1.2049,2.0572,0.6956,1.773,2.2369,3.6403,1.3407,3.3238
24,Expt56,1.2053,2.07,0.7094,1.7266,2.2283,3.6971,1.3503,3.2078
25,Expt52,1.2056,1.9241,0.7699,1.7013,2.2612,3.4452,1.5111,3.1624
26,Expt62,1.2059,2.0848,0.6881,1.7722,2.2305,3.701,1.3165,3.3035
27,test_tcn,1.2061,2.0914,0.6914,1.7583,2.2478,3.7943,1.3257,3.2728
28,DGGCN,1.2069,2.1349,0.7192,1.649,2.2539,3.8925,1.3876,3.0483
29,test,1.2071,2.1108,0.7098,1.6964,2.2596,3.8214,1.3548,3.2252
30,GCCNN,1.2071,2.1108,0.7098,1.6964,2.2596,3.8214,1.3548,3.2252
31,Expt55,1.208,1.9366,0.7754,1.6861,2.2522,3.4558,1.5042,3.1302
32,Expt74,1.2082,2.1212,0.6823,1.7648,2.2279,3.7733,1.3024,3.2628
33,Expt72,1.2089,2.14,0.678,1.7619,2.2377,3.8646,1.2817,3.279
34,Expt45,1.2092,2.0825,0.6956,1.7695,2.2462,3.7181,1.3266,3.3324
35,Expt84,1.2092,2.1024,0.69,1.7661,2.2169,3.7181,1.3211,3.2138
36,Expt70,1.21,2.1212,0.6869,1.7605,2.2311,3.7969,1.3059,3.2467
37,Expt86,1.2103,2.1331,0.687,1.7512,2.2336,3.8022,1.3146,3.2303
38,d\'g\'c\'n\'ndgcnn,1.2103,2.1338,0.7122,1.6838,2.2591,3.8634,1.3643,3.1596
39,dggcnn,1.2103,2.1338,0.7122,1.6838,2.2591,3.8634,1.3643,3.1596
40,dggcnnn,1.2103,2.1338,0.7122,1.6838,2.2591,3.8634,1.3643,3.1596
41,Expt69,1.2104,2.1261,0.6814,1.7724,2.2282,3.8004,1.2882,3.2772
